int64_field_0,allInPings,assistMePings,assists,baitPings,baronKills,basicPings,bountyLevel,champExperience,champLevel,championId,championName,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,eligibleForProgression,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,playerAugment1,playerAugment2,playerAugment3,playerAugment4,playerSubteamId,profileIcon,pushPings,puuid,quadraKills,riotIdName,riotIdTagline,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,subteamPlacement,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,_12AssistStreakCount,abilityUses,acesBefore15Minutes,alliedJungleMonsterKills,baronTakedowns,blastConeOppositeOpponentCount,bountyGold,buffsStolen,completeSupportQuestInTime,controlWardsPlaced,damagePerMinute,damageTakenOnTeamPercentage,dancedWithRiftHerald,deathsByEnemyChamps,dodgeSkillShotsSmallWindow,doubleAces,dragonTakedowns,effectiveHealAndShielding,elderDragonKillsWithOpposingSoul,elderDragonMultikills,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,epicMonsterStolenWithoutSmite,firstTurretKilled,firstTurretKilledTime,flawlessAces,fullTeamTakedown,gameLength,getTakedownsInAllLanesEarlyJungleAsLaner,goldPerMinute,hadOpenNexus,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerTakedownsNearDamagedEpicMonster,kTurretsDestroyedBeforePlatesFall,kda,killAfterHiddenWithAlly,killedChampTookFullTeamDamageSurvived,killsNearEnemyTurret,killsOnOtherLanesEarlyJungleAsLaner,killsOnRecentlyHealedByAramPack,killsUnderOwnTurret,killsWithHelpFromEpicMonster,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laneMinionsFirst10Minutes,laningPhaseGoldExpAdvantage,legendaryCount,lostAnInhibitor,maxKillDeficit,mejaisFullStackInTime,moreEnemyJungleThanOpponent,multiKillOneSpell,multiTurretRiftHeraldCount,multikills,multikillsAfterAggressiveFlash,mythicItemUsed,outerTurretExecutesBefore10Minutes,outnumberedKills,outnumberedNexusKill,perfectDragonSoulsTaken,perfectGame,pickKillWithAlly,playedChampSelectPosition,poroExplosions,quickCleanse,quickFirstTurret,quickSoloKills,riftHeraldTakedowns,saveAllyFromDeath,scuttleCrabKills,skillshotsDodged,skillshotsHit,snowballsHit,soloBaronKills,soloKills,stealthWardsPlaced,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedownOnFirstTurret,takedowns,takedownsAfterGainingLevelAdvantage,takedownsBeforeJungleMinionSpawn,takedownsFirstXMinutes,takedownsInAlcove,takedownsInEnemyFountain,teamBaronKills,teamDamagePercentage,teamElderDragonKills,teamRiftHeraldKills,tookLargeDamageSurvived,turretPlatesTaken,turretsTakenWithRiftHerald,twentyMinionsIn3SecondsCount,twoWardsOneSweeperCount,unseenRecalls,visionScorePerMinute,wardTakedowns,wardTakedownsBefore20M,wardsGuarded,patch,Duree_game,gameCreation,ban_0_teammates,ban_1_teammates,ban_2_teammates,ban_3_teammates,ban_4_teammates,ban_0_ennemies,ban_1_ennemies,ban_2_ennemies,ban_3_ennemies,ban_4_ennemies,First_baron_teammates,Nombre_baron_kill_teammates,First_kill_champion_teammates,Nombre_kill_champion_teammates,First_kill_dragon_teammates,Nombre_kill_dragon_teammates,First_kill_inib_teammates,Nombre_kill_inib_teammates,First_kill_herald_teammates,Nombre_kill_hetald_teammates,First_kill_tower_teammates,Nombre_kill_tower_teammates,First_baron_enemies,Nombre_baron_kill_enemies,First_kill_champion_enemies,Nombre_kill_champion_enemies,First_kill_dragon_enemies,Nombre_kill_dragon_enemies,First_kill_inib_enemies,Nombre_kill_inib_enemies,First_kill_herald_enemies,Nombre_kill_hetald_enemies,First_kill_tower_enemies,Nombre_kill_tower_enemies,match_id,enemies_0,enemies_1,enemies_2,enemies_3,enemies_4,teammates_0,teammates_1,teammates_2,teammates_3,teammates_4
17684,1,28,6,12,0,0,1,22211,18,24,Jax,0,26,2,9751,19341,9751,43562,0,7,0,1,0,1,19,23,0,0,0,0,0,0,13,16117,14950,3,TOP,2,2,1,3157,3091,3181,1036,3111,6632,3340,28,1,6,TOP,0,3,2,1034,87795,10599,13920,0,4,0,0,1,0,0,26,1,0,117609,11270,19538,0,0,0,0,0,1211,1,TIPtgu1gRQ2DbjVn2k0my2bExa_zJYcDLa21I9G40ySrAzeaB9kh45XnSYGG6GbjioWQYNzuzgzd2A,0,,,SOLO,0,75,133,83,11,0,6,4,6,12,tS9OlCxc9Ip9I8T0O12Nqzfa4P5JESMP16RBCpBHeX4qh7JALwbxYBXWjQ,139,play tank doggie,0,100,TOP,15,2411,2,212120,21870,0,36409,0,5136,0,226,146,310,1,0,6715,0,2950,4,5,6,0,38,0,6,16,1,0,302,0,2,3,0,150,0,0,0,"544,1566988","0,1860649381",0,7,91,0,0,0,0,0,16,0,0,0,0,0,0,Pas de valeurs,0,1,"2411,502562",0,"401,0218565",0,4,0,0,0,0,0,"1,714285714",0,0,1,0,0,0,1,0,0,70,0,0,1,6,0,0,0,0,1,0,6632,0,3,0,0,0,9,1,0,0,0,0,0,0,0,458,0,0,0,1,14,0,2,0,12,0,0,2,0,0,3,"0,1353124459",0,0,0,1,0,10,0,0,"0,9497393048",6,0,1,13.14.520.6878,2411,1689953914404,119,114,107,950,350,526,555,119,28,122,1,3,1,40,1,3,1,2,0,0,0,11,0,0,0,41,0,3,0,1,1,2,1,6,EUW1_6510109135,84,234,134,22,111,24,57,18,145,43
17857,0,4,4,0,0,0,0,11357,13,24,Jax,0,0,6,6196,6196,6196,20939,0,4,3,0,0,1,7,0,0,0,0,0,0,0,3,9782,9600,0,TOP,0,1,0,2031,2055,3047,3024,3161,6632,3340,19,1,5,TOP,0,3,1,641,36547,6907,7031,0,8,0,0,0,0,0,15,1,0,65001,8648,18004,0,0,0,0,0,7,0,SL_9tjXbYbx7Z7Nyrt8b4ukFimkebqzHNuqr1hDyDfxAMQ2dlJzs0p00_V0vtSau6-bfJd5hgiU-cQ,0,,,SOLO,0,53,103,44,5,0,3,4,3,12,vLWr6qHiNNvOR0rpSI4L_K32r8Ivyp9qDHm873l3h7RNsbFwQFGs4aSzjg,93,SirMysterious2,0,100,TOP,11,1451,0,101714,15690,0,25855,8,3840,0,150,114,86,1,0,165,135,819,3,3,3,0,20,4,0,10,1,0,205,0,0,0,0,0,1,0,3,"648,5578438","0,2433711597",0,4,9,0,0,0,0,0,13,2,0,0,0,0,0,Pas de valeurs,0,1,"1451,594243",0,"404,3680276",0,2,0,0,0,0,0,"2,25",3,0,1,0,0,0,0,0,0,64,1,0,0,2,0,0,0,0,0,0,6632,0,0,0,0,0,4,1,0,0,0,0,0,0,0,49,0,0,0,3,6,0,6,0,9,0,0,4,0,0,0,"0,1979820685",0,1,0,3,5,7,0,0,"0,8277713299",0,0,0,13.14.520.6878,1451,1689950053089,121,117,268,200,53,107,91,17,145,526,0,0,0,35,0,1,1,1,0,1,0,8,0,0,1,22,1,2,0,0,1,1,1,3,EUW1_6509947410,777,57,18,22,111,24,421,103,110,16
18011,0,2,1,0,0,0,0,15109,16,24,Jax,0,5,3,928,1946,928,23111,0,7,0,0,0,1,0,0,0,0,0,0,0,0,6,11968,11180,0,TOP,0,0,2,3161,3047,6632,3110,0,0,3340,20,0,7,TOP,0,2,1,508,44488,7404,8747,0,2,0,1,0,0,0,3,6,0,83511,9523,14635,0,0,0,0,0,4568,0,UFaD--g9GYMfB8NxNRqYJ_A-spnuIEKMuPBR-WEempR4trXSuD0ZeVo9p1-cgZ8chycNdYkEDs8Q5g,0,,,SOLO,0,39,103,31,9,0,5,4,4,12,W7nQSgo6GEjpQXSwrl9GZXRCKJnJ2vd3aSes_jiu2_P7-gE,375,1Paire2Bottes,0,200,TOP,12,1686,2,134380,17074,0,26539,0,3617,0,212,175,199,1,0,6380,145,3156,0,0,9,0,10,0,0,7,0,0,182,0,3,0,0,850,0,0,0,"607,3088871","0,1999735568",0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,Pas de valeurs,0,1,"1686,906261",0,"425,6791829",0,2,0,0,0,0,0,"1,142857143",1,0,0,0,0,2,0,0,0,88,0,0,0,0,0,0,0,0,0,0,6632,0,0,0,0,0,4,1,0,0,0,0,0,0,0,7,0,0,0,4,8,0,6,0,8,0,0,3,1,0,0,"0,1905794457",0,1,0,1,0,9,0,0,"0,3855291877",0,0,0,13.14.520.6878,1686,1689919674023,119,895,950,34,91,54,526,121,203,81,1,1,1,36,0,1,1,2,0,1,1,9,0,0,0,23,1,3,0,0,1,1,0,3,EUW1_6509200366,777,421,711,360,154,24,104,23,145,412
18171,0,1,6,0,0,0,3,12129,14,24,Jax,0,0,5,5954,8382,5954,10358,0,2,4,0,0,1,1,0,0,0,0,0,0,0,1,10539,9258,0,TOP,0,1,0,2033,0,3158,1037,3078,3161,3340,23,1,7,TOP,0,3,1,825,33002,6370,5779,0,0,0,0,1,0,0,24,6,0,63181,9584,10074,0,0,0,0,0,7,1,SL_9tjXbYbx7Z7Nyrt8b4ukFimkebqzHNuqr1hDyDfxAMQ2dlJzs0p00_V0vtSau6-bfJd5hgiU-cQ,0,,,SOLO,0,46,98,38,7,0,4,4,4,14,vLWr6qHiNNvOR0rpSI4L_K32r8Ivyp9qDHm873l3h7RNsbFwQFGs4aSzjg,93,SirMysterious2,0,200,TOP,8,1318,0,98277,16369,0,16230,0,3230,0,151,53,70,1,0,2094,414,375,3,4,2,0,17,4,0,11,1,0,189,0,0,1,0,0,0,0,4,"745,0878106","0,2054189354",0,2,6,0,0,0,0,0,11,0,0,0,0,0,1,848.4948118,1,1,"1318,227044",0,"479,7220189",0,5,0,0,0,0,0,"6,5",0,0,2,0,0,0,0,0,0,62,1,0,0,3,0,0,0,0,0,0,3078,0,1,0,0,0,8,1,0,0,0,0,1,0,0,34,0,0,0,2,7,0,2,0,13,0,0,5,0,0,1,"0,2054060531",0,2,0,3,0,7,0,0,"0,7964886283",0,0,0,13.14.520.6878,1318,1689866217844,119,30,107,897,53,412,203,145,28,200,0,0,1,15,0,0,0,0,0,0,0,2,1,1,0,41,1,3,1,1,1,2,1,7,EUW1_6507463643,122,76,131,22,147,24,60,80,81,43
18176,0,11,7,0,0,0,0,12664,14,24,Jax,0,8,7,5794,5794,5794,35902,0,6,2,0,0,1,8,0,0,0,0,0,0,0,15,12856,12175,0,TOP,0,0,1,3053,0,6632,1033,3047,3161,3340,27,0,7,TOP,0,2,1,716,39291,10912,12314,0,4,0,1,0,0,0,10,6,0,67929,12360,25533,0,0,0,0,0,7,0,SL_9tjXbYbx7Z7Nyrt8b4ukFimkebqzHNuqr1hDyDfxAMQ2dlJzs0p00_V0vtSau6-bfJd5hgiU-cQ,0,,,SOLO,0,58,101,60,11,0,5,4,5,12,vLWr6qHiNNvOR0rpSI4L_K32r8Ivyp9qDHm873l3h7RNsbFwQFGs4aSzjg,92,SirMysterious2,0,200,TOP,20,1638,0,108277,23944,0,39720,0,9285,0,167,133,189,1,0,1057,672,1871,3,3,7,0,22,5,2,12,0,0,230,0,0,0,0,825,0,0,2,"876,6877384","0,2823462513",0,6,0,0,0,0,0,0,21,0,0,0,0,0,1,797.4844722,0,0,"1638,772546",0,"470,7034068",0,8,0,0,0,0,1,"2,333333333",0,0,2,0,0,1,0,0,0,77,1,0,0,0,0,0,0,1,0,0,6632,0,1,0,0,0,9,1,0,0,0,0,0,0,1,5,0,0,0,1,10,0,4,0,14,0,0,6,0,0,0,"0,2161572977",0,1,0,5,10,8,0,0,"0,8086215926",2,1,1,13.14.520.6878,1638,1689856361951,127,78,107,201,7,200,81,238,526,121,1,1,1,42,0,2,1,1,0,1,0,7,0,0,0,37,1,1,0,1,1,1,1,5,EUW1_6507201657,58,64,68,119,40,24,30,18,429,79
18290,0,1,6,0,0,0,0,16083,16,24,Jax,0,0,2,4668,10129,4668,33745,0,9,0,1,0,1,1,0,0,0,0,0,0,0,1,11541,11550,0,TOP,0,0,0,6632,3047,3110,8020,3051,1033,3340,27,1,4,TOP,0,3,2,340,42640,10959,14603,0,7,0,0,0,0,0,3,6,0,77274,11499,14706,0,0,0,0,0,1597,0,RC7ZQomc4abq_McJ3-rCHTRcFEGsB118P691XlbjqGEaMbQ_fMh3cFzlXE-iW7ApKCKfk8hW-kQ4jQ,0,,,SOLO,0,50,111,67,10,0,5,4,4,12,wDmAWoYrY7J6j2vqAzh7HhhOCWcl1yw8wkDgk7xGdrdm-sMf,373,Nukes Olafson,0,200,TOP,14,1881,4,123438,22531,0,31767,0,5221,0,170,447,318,1,0,3523,73,2456,1,1,4,0,19,0,1,11,1,0,238,0,3,0,0,300,0,0,0,"718,6391626","0,2314973924",0,9,0,0,1,0,0,0,16,0,0,0,0,0,1,660.819925,0,0,"1881,207924",0,"368,0988267",0,6,0,0,0,0,0,"1,111111111",1,0,0,0,0,0,0,0,0,67,0,0,0,9,0,0,0,0,1,0,6632,0,0,0,0,0,8,1,0,0,0,0,0,0,0,2,0,0,0,0,10,0,0,0,10,0,0,1,1,0,2,"0,1555718237",0,2,0,1,5,8,0,0,"0,6215595146",1,0,0,13.14.520.6878,1881,1689922343163,68,526,121,28,950,34,114,111,526,107,0,0,0,35,0,1,0,0,0,0,0,4,1,2,1,42,1,3,1,4,1,2,1,11,EUW1_6509232496,58,876,18,30,53,24,9,104,523,40
18380,2,12,2,0,0,0,0,14455,15,24,Jax,0,15,0,2740,9577,2740,21119,0,7,0,0,0,1,2,1,0,0,0,0,0,0,0,9671,9250,0,TOP,0,0,2,6632,2421,3111,3161,1029,0,3340,18,0,4,TOP,0,2,1,371,29524,5157,7719,0,12,0,1,0,0,0,4,6,0,72699,4844,14794,0,0,0,0,0,3819,0,ONYXtz6OAaizvW1EMe26Dv4AR3fz_9ztpxK3wpGRKjYvKw5Smlm8e5Zk-VLGlDzv1XkgDcl2P8HZJA,0,,,DUO,0,45,98,29,5,0,4,4,5,12,_nHRl1brTj3Dex2XnJxhCcsdvfdM2pAZgKDDBte8xbwcX4E,327,Rasadurai,0,200,TOP,17,1735,4,109697,11028,0,24014,2,2217,0,173,98,242,1,0,7473,1026,1500,0,0,10,0,9,0,0,6,0,0,177,0,1,0,0,0,0,0,0,"381,1838034","0,1629460014",0,7,3,0,0,0,0,0,16,2,0,0,0,0,1,791.4569627,0,1,"1735,986615",0,"334,2852878",0,2,0,0,0,0,0,"0,8571428571",1,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,6632,0,1,0,0,0,4,1,0,0,0,0,0,0,1,23,0,0,0,1,6,0,0,0,6,0,0,1,0,0,0,"0,1313085747",0,1,0,0,5,8,0,1,"0,3359504642",0,0,0,13.14.520.6878,1735,1690081283254,119,107,76,54,526,421,203,76,238,266,1,1,1,41,0,1,1,2,0,1,0,10,0,0,0,22,1,3,0,0,1,1,1,3,EUW1_6513666303,68,950,39,498,497,24,121,18,22,888
18482,0,0,0,1,0,0,0,11898,14,24,Jax,0,15,4,2523,5337,2523,13080,0,4,1,0,0,1,4,1,0,0,0,0,0,0,17,8560,8325,0,TOP,0,0,2,3161,0,6632,1055,3047,0,3340,20,0,1,TOP,0,0,1,566,30635,2692,1776,0,4,0,1,0,0,0,40,6,0,70416,2732,13358,0,0,0,0,0,3534,0,2oASP42msdGK1-oVdWJFTGuK7JgbhN7LUdtDM1q0G8DTBAlWmlLLRLBMlLs6oZ_PVAR1AKH-2Yseyw,0,,,SOLO,0,37,97,24,5,0,0,4,4,12,vXMzHOOzzMmkOx9OrW8SjXRTuRlPcJOjrLnm3iE2D4Zwjz0,535,klown3D,0,200,TOP,5,1405,2,103700,5689,0,19007,0,3796,0,193,54,90,1,0,2648,263,3872,1,1,10,0,13,1,0,8,0,0,163,0,2,1,0,0,0,0,1,"242,7695216","0,1818326368",0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,Pas de valeurs,0,0,"1406,047498",0,"365,3146057",0,1,0,0,0,0,0,"0,25",0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,6632,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,1,0,0,0,0,0,1,"0,1089065378",0,0,0,0,0,9,0,0,"0,5775408895",0,0,0,13.14.520.6878,1405,1689765029250,28,53,54,58,121,101,53,7,203,427,0,0,1,35,1,3,1,2,1,2,1,10,1,1,0,17,0,0,0,0,0,0,0,1,EUW1_6505420376,2,421,18,15,37,24,64,69,145,526
18870,0,2,5,0,0,0,0,20888,18,24,Jax,0,8,8,12522,14195,12522,35683,0,7,4,0,0,1,3,0,0,0,0,0,0,0,1,15987,15875,0,TOP,1,2,2,2055,3161,3158,6632,3071,3091,3340,30,1,5,TOP,0,3,1,725,104375,13623,16002,0,4,0,1,0,0,0,9,6,0,155224,16645,32245,0,0,0,0,0,27,0,-aPKP-WuJTy5UgRdqGtcwiorBsuE8MIDeuWvBxoE2DPW3S7Vaxo6roFcdyqwT8BhrQnTP73jqfTuqQ,0,,,SOLO,0,94,171,99,14,0,7,12,7,4,wyOy7tkkD3ydRwvc13dacp9tsGI8JHbrzxoi6vB_CooqQ0-4,559,TOP DER GIER,0,200,TOP,21,2292,0,262989,30269,0,53227,4,15241,0,265,175,236,1,0,3390,0,4979,5,6,10,0,36,5,1,18,0,0,378,0,0,0,0,0,0,0,4,"792,1220863","0,2854383639",0,7,10,0,0,0,0,0,23,1,0,0,0,0,0,Pas de valeurs,0,2,"2292,781631",0,"418,3880526",0,3,0,0,0,0,0,"1,428571429",0,0,2,0,0,0,1,0,0,64,0,0,0,0,0,0,0,0,0,0,6632,0,0,0,1,0,6,1,0,0,0,0,0,0,0,55,0,0,0,4,13,0,2,0,10,0,0,2,0,0,1,"0,2628499808",0,1,0,3,5,12,0,0,"0,9453476552",1,1,1,13.14.520.6878,2292,1689813756355,119,10,134,427,78,85,28,497,111,107,0,2,1,24,0,0,0,2,1,1,1,10,1,1,0,30,1,4,1,2,0,1,0,9,EUW1_6506703789,114,91,268,145,526,24,234,7,360,412
19001,0,2,6,0,0,0,0,14929,16,24,Jax,0,9,5,3154,7049,3154,25052,0,4,4,0,0,1,3,0,0,1,0,0,0,0,13,11262,11000,0,TOP,0,0,1,3181,6632,3071,0,0,3047,3340,19,0,3,TOP,0,0,1,643,57001,8346,9407,0,2,0,1,0,0,0,2,6,0,88214,8342,17679,0,0,0,0,0,5764,0,ucSYuN-aZEMPfBpI3bnsEX3aNdHVvwu0PW-aZz5JjpozARb5vYLCSdYqr5xOUtu7EACjyfjyAadwYg,0,,,DUO,0,40,122,70,11,0,5,4,4,12,h8tDwq2mCAII_6d6an_dcPR1snkQbAybofGaXqWxsR6dlJw,735,wx tonytoppwd,0,200,TOP,16,1839,2,149440,17038,0,28827,0,9229,0,218,123,122,1,0,4224,349,1740,1,1,9,0,30,4,1,15,0,0,243,0,1,0,0,0,0,0,4,"555,8315261","0,2100913108",0,4,0,0,1,0,0,0,17,0,0,0,0,0,1,909.572945,0,1,"1839,215477",0,"367,4147011",0,6,0,0,0,0,0,"2,25",1,0,0,1,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,6632,0,1,0,0,0,7,1,0,0,0,0,0,0,0,8,0,0,0,0,11,0,7,0,9,0,0,1,0,0,0,"0,1960890754",0,1,0,2,0,10,0,0,"1,005631646",1,1,0,13.14.520.6878,1839,1689942528206,121,147,119,54,58,157,203,950,119,498,1,2,0,30,1,2,1,1,0,1,0,9,0,0,1,28,0,2,0,0,1,1,1,6,NA1_4719771181,92,76,133,145,526,24,107,7,523,111
19007,0,0,3,0,0,0,4,11855,14,24,Jax,0,2,2,5348,7875,5348,10640,0,4,1,1,0,1,2,0,0,0,0,0,0,1,5,9742,8208,0,TOP,1,1,0,3053,3078,1036,1055,0,3047,3340,13,1,4,TOP,0,4,2,322,30920,5720,3226,0,8,0,0,0,0,0,1,1,0,71337,7778,11158,0,0,0,0,0,5764,0,ucSYuN-aZEMPfBpI3bnsEX3aNdHVvwu0PW-aZz5JjpozARb5vYLCSdYqr5xOUtu7EACjyfjyAadwYg,0,,,SOLO,0,36,89,42,7,0,3,4,3,12,h8tDwq2mCAII_6d6an_dcPR1snkQbAybofGaXqWxsR6dlJw,735,wx tonytoppwd,0,100,TOP,7,1381,0,102258,13499,0,14764,4,3496,0,150,55,90,1,0,0,0,379,1,2,1,0,14,1,0,8,1,0,174,0,0,0,0,0,0,0,1,"586,1326129","0,2430589202",0,4,5,0,0,0,0,0,9,1,0,0,0,0,1,853.5189101,0,0,"1381,86095",0,"423,0177846",0,4,0,0,0,0,0,"1,75",1,0,1,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,1,0,3078,0,0,0,0,0,3,1,0,0,0,0,1,0,1,34,0,0,0,0,7,0,1,0,7,0,0,1,0,0,1,"0,1788190277",0,2,0,2,0,7,0,0,"0,6091729949",0,0,0,13.14.520.6878,1381,1689937981834,85,895,119,555,238,154,114,145,902,107,1,1,1,30,1,2,1,2,1,2,1,7,0,0,0,9,0,1,0,0,0,0,0,1,NA1_4719744285,240,20,157,523,40,24,203,103,498,25
19664,0,3,4,1,0,0,0,25235,18,24,Jax,0,35,7,9773,39463,9773,39418,0,4,2,0,0,1,9,0,0,0,0,0,0,0,6,20592,20133,4,TOP,1,2,1,3091,3153,3078,3161,3071,3111,3340,33,1,6,TOP,0,4,1,1268,128304,8392,5811,0,16,1,0,1,0,0,38,6,0,213862,16046,26748,0,0,0,0,0,5680,3,2TgQu0V3JYveLU6a3gXrFXCfi9jit_SR_XVCKiNk8CSpp3_VMmPUGeOeUuYMVFEGouj5NeBnzbBvsQ,0,,,DUO,0,109,222,95,12,0,8,14,4,4,GDPtSWSknTlenEWIcM1Hx1xUQILtxH-HdHKfyCVESZ7KTd4,742,Sond,0,200,TOP,9,2666,4,358028,27199,0,41956,8,10349,0,331,214,213,1,0,15861,2760,9397,5,6,5,0,38,2,2,19,1,0,438,0,2,1,0,450,0,0,2,"612,082229","0,2557172509",0,4,7,0,3,0,0,0,9,2,0,0,0,0,0,Pas de valeurs,0,1,"2666,27185",0,"463,4007383",0,3,0,0,0,0,0,"2,5",1,0,1,0,0,0,0,0,0,69,0,0,1,3,0,0,0,0,0,0,3078,0,0,0,0,0,6,1,0,0,0,0,2,0,0,35,0,0,0,1,16,0,5,0,10,0,0,5,0,0,3,"0,1623132889",0,2,0,1,0,16,0,0,"0,8623531616",2,0,0,13.14.520.6878,2666,1689968563690,360,53,107,203,145,526,201,203,79,121,0,1,1,30,1,2,0,1,0,0,1,5,1,3,0,33,0,4,1,3,1,2,0,10,NA1_4720070211,2,9,777,147,412,24,72,142,81,111
19724,0,0,3,0,0,0,0,15530,16,24,Jax,0,0,3,10239,13067,10239,23179,0,4,1,0,0,1,0,4,0,1,0,1,0,1,0,13186,12833,0,TOP,0,0,1,3082,3078,3153,3181,3047,1029,3340,21,0,2,TOP,0,2,1,1036,41424,4082,13535,0,4,0,0,0,0,0,3,6,0,137069,5082,16419,0,0,0,0,0,4851,0,WWkIYCTpZrygVGf7ckB7pB_8q84nR0_4YwAj_yaN-KR1jM5lFNmGV3SChQ0mc-GrPHmmJUUDlkELxw,0,,,SOLO,0,59,114,50,8,0,4,4,3,12,zlP-ONEBx0rS-gkuJVGUVBxuw5iM582YF0Dnrs4UHwx3xio,842,Top For Makaier,0,200,TOP,12,1919,4,182140,9232,0,30991,0,7548,0,243,111,132,1,0,3646,66,1036,3,3,7,0,19,2,3,10,0,0,231,0,1,0,0,0,0,0,1,"288,6485066","0,2177122177",0,4,8,0,1,0,0,0,11,0,0,0,0,0,1,820.4500726,0,1,"1919,123421",0,"412,2715362",0,5,0,0,0,0,1,"1,25",0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,3078,0,0,0,0,0,4,1,0,0,0,0,1,0,0,41,0,0,0,0,10,0,2,1,5,0,0,2,0,0,0,"0,1386132436",0,2,0,5,0,11,0,0,"0,6042140769",3,1,0,13.14.520.6878,1919,1689981245551,53,412,120,114,54,526,54,203,68,28,1,1,0,35,0,3,1,1,0,0,0,7,0,0,1,17,1,2,0,0,1,2,1,4,NA1_4720316755,133,33,238,163,147,24,104,103,360,200
19750,0,0,2,0,0,0,1,11954,14,24,Jax,0,0,2,8347,8347,8347,17105,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,9273,7833,0,TOP,0,1,0,1054,2031,3078,3111,3110,1036,3340,18,0,2,TOP,0,0,1,658,33081,4603,5063,0,0,1,0,1,0,0,2,6,0,62457,4620,12025,0,0,0,0,0,4162,0,59K63EMX_CYu57OTkK52WoWb-Uw1KSnIQTEUcrv08FLLp3rQBrt0IPblxQWe7nFgLOmAbreI3LWkvQ,0,,,SOLO,0,29,86,48,5,0,3,12,2,4,X_3hT2rG1U02GO3YfIi9Dn_mkj1NWlgYqK9M4NVknNh_OG4,1089,CX FY TOP,0,200,TOP,12,1399,0,101425,9242,0,19072,0,2179,0,157,313,68,1,0,5886,18,1982,3,4,3,0,9,0,0,6,1,0,168,0,0,0,0,0,0,0,0,"396,1205224","0,2701466391",0,2,2,0,0,0,0,0,12,0,0,0,0,0,0,Pas de valeurs,0,0,"1399,902864",0,"397,4673932",0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,71,0,0,0,0,0,0,0,0,0,0,3078,0,1,0,0,0,1,1,0,0,0,0,0,0,0,14,0,0,0,1,6,0,2,0,4,0,0,1,0,0,1,"0,1564932867",0,1,0,2,0,7,0,0,"0,4113509028",0,0,0,13.14.520.6878,1399,1690008431026,902,53,58,350,203,119,-1,114,104,555,0,0,0,7,0,0,0,0,0,1,1,3,1,1,1,22,1,3,1,1,1,1,0,9,NA1_4720958620,92,76,103,236,201,24,5,268,81,235
